stockcode,year,roc,ey,EBIT,EV
A04,2021,-8.33,-0.056577363455670326,-20210000.0,357210000.0
A04,TTM,-6.98,-0.038249269545199666,-12960000.0,338830000.0
A04,2015,1.11,0.018565724815724816,12090000.0,651200000.0
A04,2016,0.29,0.029699357851722126,20350000.0,685200000.0
A04,2017,-10.71,-0.037958494619988736,-22260000.0,586430000.0
A04,2018,-10.33,-0.05935134124684549,-31750000.0,534950000.00000006
A04,2019,-24.18,-0.41854311645013625,-158180000.0,377930000.0
A04,2020,-5.11,-0.04950827000447027,-17720000.0,357920000.0
A04,2021,-8.33,-0.056577363455670326,-20210000.0,357210000.0
A04,TTM,-6.98,-0.038249269545199666,-12960000.0,338830000.0
A04,2015,1.11,0.018565724815724816,12090000.0,651200000.0
A04,2016,0.29,0.029699357851722126,20350000.0,685200000.0
A04,2017,-10.71,-0.037958494619988736,-22260000.0,586430000.0
A04,2018,-10.33,-0.05935134124684549,-31750000.0,534950000.00000006
A04,2019,-24.18,-0.41854311645013625,-158180000.0,377930000.0
A04,2020,-5.11,-0.04950827000447027,-17720000.0,357920000.0
A04,2021,-8.33,-0.056577363455670326,-20210000.0,357210000.0
A04,TTM,-6.98,-0.038249269545199666,-12960000.0,338830000.0
A31,2014,-35.31,-0.02680211823192478,-2480000.0,92530000.0
A31,2015,-45.01,-0.017136843990686008,-956750.0,55830000.0
A31,2016,-31.44,-0.025322428436615287,-1610000.0,63580000.0
A31,2017,-118.35,-0.0967603824746682,-6780000.0,70070000.0
A31,2018,-64.76,-0.07771679473106477,-3540000.0,45550000.0
A31,2019,26.49,0.10273972602739724,4650000.0,45260000.0
A31,2020,-75.12,-0.11831378007556174,-5950000.0,50290000.0
A31,TTM,-74.09,-0.12225625319040327,-4790000.0,39180000.0
A33,2014,-168.95,-0.1222337739492054,-8230000.0,67330000.0
A33,2017,-63.94,-0.01487924917019572,-1300000.0,87370000.0
A33,2018,-2.35,-0.00280648475853408,-245820.0,87590000.0
A33,2019,2.32,0.033281972265023115,1080000.0,32450000.000000004
A33,2020,-4.45,-0.00020069686411149825,-23040.0,114800000.0
A33,TTM,-4.61,-0.0017743759241541273,-204000.0,114970000.0
A34,2014,6.47,0.039859468661149235,22010000.0,552190000.0
A34,2015,2.5,0.03421869876357464,17740000.0,518430000.0
A34,2016,6.2,0.030068354382443718,15880000.0,528130000.0
A34,2017,3.71,0.031897439197014536,19830000.0,621680000.0
A34,2018,4.69,0.04050058084275002,23010000.0,568140000.0
A34,2019,3.85,0.04044117647058824,25190000.0,622880000.0
A34,2020,-1.53,0.021680356804601262,12590000.0,580710000.0
A34,TTM,-0.66,0.031493282962910665,17840000.0,566470000.0
A34,2014,6.47,0.039859468661149235,22010000.0,552190000.0
A34,2015,2.5,0.03421869876357464,17740000.0,518430000.0
