stockcode,year,roc,ey,EBIT,EV,label
AJ2,2017,20.87,0.4793296089385475,8580000.0,17900000.0,1
AJ2,2014,-136.78,-0.5543500938869185,-26570000.0,47930000.0,1
AJ2,2015,87.28,0.2846143077138457,20330000.0,71430000.0,0
AJ2,2016,37.83,0.309528180649899,16860000.0,54470000.0,0
AJ2,2017,20.87,0.4793296089385475,8580000.0,17900000.0,1
AJ2,2014,-136.78,-0.5543500938869185,-26570000.0,47930000.0,1
AJ2,2015,87.28,0.2846143077138457,20330000.0,71430000.0,0
AJ2,2016,37.83,0.309528180649899,16860000.0,54470000.0,0
AJ2,2017,20.87,0.4793296089385475,8580000.0,17900000.0,1
AJ2,2014,-136.78,-0.5543500938869185,-26570000.0,47930000.0,1
AJ2,2015,87.28,0.2846143077138457,20330000.0,71430000.0,0
AJ2,2016,37.83,0.309528180649899,16860000.0,54470000.0,0
AJ2,2017,20.87,0.4793296089385475,8580000.0,17900000.0,1
AVM,2015,6.45,0.1634117367545735,34390000.0,210450000.0,0
AVM,2016,12.41,0.1258241321788863,31680000.0,251780000.0,1
AVM,2017,9.42,0.1417319186396701,30590000.0,215830000.0,1
AVX,2015,-3.07,0.1326617722383472,7770000.0,58570000.0,0
AVX,2016,-0.22,0.0873637602179836,5130000.0,58720000.0,1
AVX,2017,106.48,-0.4441786283891547,5570000.0,-12540000.0,1
AVX,2015,-3.07,0.1326617722383472,7770000.0,58570000.0,0
AVX,2016,-0.22,0.0873637602179836,5130000.0,58720000.0,1
AVX,2017,106.48,-0.4441786283891547,5570000.0,-12540000.0,1
AWC,2014,-68.64,0.2835820895522388,5890000.0,20770000.0,0
AWC,2015,13.56,0.2639161755075311,4030000.000000001,15270000.0,1
AWC,2016,16.32,0.4513618677042801,3480000.0,7710000.0,1
AWC,2017,12.01,0.2943615257048093,3550000.0,12060000.0,1
AWE,2014,4.63,0.2043596730245231,1500000.0,7340000.0,0
AWE,2015,2.99,0.0094117647058823,160000.0,17000000.0,0
AWE,2016,4.77,-0.0446331109763493,736000.0,-16489999.999999998,0
AWE,2017,1.86,-0.3034079211139405,280000.0,-922850.0,1
AWG,2014,-10.27,0.0211344922232387,231000.0,10930000.0,0
AWG,2015,1.92,-1.0961538461538465,-1710000.0,1560000.0,0
AWG,2016,-4.55,0.5041666666666667,-2420000.0,-4800000.0,1
AWG,2017,-21.24,-0.7177985948477752,-6130000.0,8540000.0,1
AWI,2014,-0.08,0.0077826144308138,1180000.0,151620000.0,0
AWI,2015,4.7,0.0255378311137128,3490000.0,136660000.0,1
AWI,2016,0.35,0.1510207568121636,17680000.0,117070000.0,1
AWI,2017,28.22,0.188436632747456,20370000.0,108100000.0,1
AWK,2014,1.34,0.0780508840017248,1810000.0,23190000.0,0
AWK,2015,-2.4,-0.1584609019445593,-3830000.0,24170000.0,1
AWK,2016,-10.13,-0.1826889585510275,-10490000.0,57420000.0,1
AWK,2017,2.47,0.1125534272597752,7110000.0,63170000.0,1
AWM,2014,10.87,0.8108614232209738,8660000.0,10680000.0,1
AWM,2015,3.44,0.1629187700780174,3550000.0,21790000.0,1
AWM,2016,0.69,0.0249201716738197,580640.0,23300000.0,0
AWM,2017,-101.12,-0.6416124291412975,-30560000.0,47630000.0,0
AWS,2015,-35.81,-0.0133868808567603,-1500000.0,112050000.0,0
AWS,2016,-5.65,0.0414874778649127,3280000.0,79060000.0,0
AWS,2017,-1.37,0.0385639609428937,3910000.0,101390000.0,0
AWV,2014,6.34,0.8586956521739131,2370000.0,2760000.0,0
AWV,2015,7.7,0.7680851063829788,3610000.0,4700000.0,0
AWV,2016,15.65,0.4962486602357985,4630000.0,9330000.0,0
AWV,2017,3.2,0.2553648068669528,3570000.0,13980000.0,0
AWV,2014,6.34,0.8586956521739131,2370000.0,2760000.0,0
AWV,2015,7.7,0.7680851063829788,3610000.0,4700000.0,0
AWV,2016,15.65,0.4962486602357985,4630000.0,9330000.0,0
AWV,2017,3.2,0.2553648068669528,3570000.0,13980000.0,0
AWZ,2015,5.2,0.2313246320466537,8330000.0,36010000.0,1
AWZ,2016,10.12,0.4724689165186501,13300000.0,28150000.0,1
AWZ,2017,10.93,0.3476661951909476,12290000.0,35350000.0,1
AYN,2014,3.55,0.4740088105726872,5380000.0,11350000.0,0
AYN,2015,5.55,0.1992233009708738,5130000.0,25750000.0,0
AYN,2016,7.99,0.2488038277511961,6760000.0,27170000.0,0
AYN,2017,6.13,0.2395322519803847,6350000.0,26510000.0,0
AYV,2014,-37.97,-0.0181586492513539,-1140000.0,62780000.0,0
AYV,2015,-76.47,-0.081268221574344,-2230000.0,27440000.0,0
AYV,2016,3.58,0.0197569994717379,374000.0,18930000.0,0
AYV,2017,-4.45,0.0009162303664921,21000.0,22920000.0,0
AZA,2015,9.08,0.2358892438764643,4430000.0,18780000.0,0
AZA,2016,-7.05,-0.085360459973463,-3860000.0,45220000.0,0
AZA,2017,-5.29,-0.1021647307286166,-3870000.0,37880000.0,0
AZT,2014,1.42,0.1072740631888317,1460000.0,13610000.0,0
AZT,2015,-2.58,0.0281070681723128,672040.0,23910000.0,0
AZT,2016,1.14,0.048351395730706,588920.0,12180000.0,1
AZT,2017,-4.66,-0.040260556621881,-839030.0,20840000.0,0
B26,2014,3.38,0.0721476510067114,1720000.0,23840000.0,1
B26,2015,10.69,0.2027097446586764,3890000.0,19190000.0,1
B26,2016,10.61,0.1850481125092524,2500000.0,13510000.0,1
B26,2017,18.57,0.3019680196801967,4910000.0,16260000.000000002,1
B28,2014,3.83,0.0483485441112559,31150000.0,644280000.0,1
B28,2015,5.29,0.049021667577069,35000000.0,713970000.0,0
B28,2016,5.37,0.0414024497921048,25790000.0,622910000.0,0
B28,2017,1.3,0.0352602864898277,26240000.0,744180000.0,0
B49,2014,8.36,0.1658408793211458,29120000.0,175590000.0,0
B49,2015,1.88,0.0605891472868217,9770000.0,161250000.0,0
B49,2016,2.75,0.0614169420488434,7620000.0,124070000.0,0
B49,2017,3.48,0.0711529184756391,5900000.0,82920000.0,1
B49,2014,8.36,0.1658408793211458,29120000.0,175590000.0,0
B49,2015,1.88,0.0605891472868217,9770000.0,161250000.0,0
B49,2016,2.75,0.0614169420488434,7620000.0,124070000.0,0
B49,2017,3.48,0.0711529184756391,5900000.0,82920000.0,1
B49,2014,8.36,0.1658408793211458,29120000.0,175590000.0,0
B49,2015,1.88,0.0605891472868217,9770000.0,161250000.0,0
B49,2016,2.75,0.0614169420488434,7620000.0,124070000.0,0
B49,2017,3.48,0.0711529184756391,5900000.0,82920000.0,1
B69,2015,-55.2,-0.102533919831485,-16550000.0,161410000.0,0
B69,2016,-28.19,-0.493583868010999,-21540000.0,43640000.0,0
B69,2017,0.97,0.1962689467547609,10100000.0,51460000.0,0
B69,2015,-55.2,-0.102533919831485,-16550000.0,161410000.0,0
B69,2016,-28.19,-0.493583868010999,-21540000.0,43640000.0,0
B69,2017,0.97,0.1962689467547609,10100000.0,51460000.0,0
B9S,2015,-0.74,-0.0076616288832913,-365000.0,47640000.0,0
B9S,2016,-6.17,-0.2488605287146764,-8189999.999999999,32910000.0,0
B9S,2017,-8.41,-0.217028746982664,-9890000.0,45570000.0,0
BAZ,2015,-48.99,68.01291070098486,-41090000.0,-604150.0,0
BAZ,2016,-3.17,0.1840958605664488,-5070000.0,-27540000.0,1
BAZ,2017,21.01,0.0547479121558923,-1770000.0,-32330000.0,0
BBP,2014,-11.01,-0.3827249728948319,-21180000.0,55340000.0,0
BBP,2015,-1.8,-0.0725133689839572,-3390000.0,46750000.0,0
BBP,2016,1.24,0.0333531864204883,1680000.0,50370000.0,0
BBP,2017,-3.47,-0.0824399260628465,-4460000.0,54100000.0,0
BBW,2014,3.22,0.0950570342205323,1500000.0,15780000.0,0
BBW,2015,1.32,-0.2246220302375809,-1040000.0,4630000.0,1
BBW,2016,-26.2,-0.6214057507987221,-3890000.0,6260000.0,1
BBW,2017,2.2,-10.672703751617076,-1650000.0,154600.0,1
BCD,2015,-1.67,-0.0231206846251094,-9510000.0,411320000.0,0
BCD,2016,-5.52,-0.0272469550608987,-5190000.0,190480000.0,0
BCD,2017,-2.09,-0.0624632856863129,-6380000.0,102140000.0,0
BCV,2015,0.04,0.0254687039764359,691730.0,27160000.0,0
BCV,2016,0.14,0.0025796948974224,49040.0,19010000.0,1
BCV,2017,0.67,0.0434924787442773,1330000.0,30580000.0,1
BCY,2014,5.94,0.0073803730738037,91000.0,12330000.0,1
