Name,p_2014,p_2015,p_2016,p_2017,p_2018,p_2019,p_2020,p_2021,p_2022
N0Z.SI,0.6000000238418579,0.550000011920929,0.4600000083446502,0.5899999737739563,0.959999978542328,1.0099999904632568,1.0399999618530271,0.8399999737739563,0.800000011920929
N2IU.SI,1.1429040431976318,1.486264944076538,1.3096790313720703,1.5240329504013062,1.6834089756011963,1.7531360387802124,2.3499999046325684,2.069999933242798,1.7999999523162842
N33.SI,1.0,1.0,1.0,1.0,1.0,,,,
NC2.SI,0.4499930143356323,0.5056620240211487,0.3618499934673309,0.9370989799499512,0.5149999856948853,0.6349999904632568,0.5600000023841858,1.3200000524520874,1.159999966621399
NO4.SI,0.375,0.3449999988079071,0.135000005364418,0.1770000010728836,0.1469999998807907,0.1049999967217445,0.123999997973442,0.0989999994635582,0.0939999967813491
NPW.SI,0.2524999976158142,0.2349999994039535,0.1774999946355819,0.3174999952316284,0.3300000131130218,0.2975000143051147,0.2649999856948852,0.6299999952316284,1.0099999904632568
NR7.SI,0.2485570013523101,0.2982690036296844,0.2169229984283447,0.1744419932365417,0.2395190000534057,0.1089999973773956,0.0799999982118606,0.1299999952316284,0.0680000036954879
NS8U.SI,0.8450000286102295,0.7149999737739563,0.4749999940395355,0.4250000119209289,0.4149999916553497,0.25,0.1599999964237213,0.2049999982118606,0.2349999994039535
O08.SI,0.25,0.2549999952316284,0.1899999976158142,0.1490000039339065,0.050000000745058,0.0939999967813491,0.1439999938011169,0.0970000028610229,0.1110000014305114
O10.SI,1.690000057220459,1.684999942779541,1.4700000286102295,1.4700000286102295,1.5,1.2599999904632568,1.1399999856948853,1.0700000524520874,1.100000023841858
O32.SI,1.4800000190734863,1.975000023841858,1.6200000047683716,1.9900000095367432,2.2300000190734863,1.850000023841858,1.7999999523162842,1.590000033378601,1.6799999475479126
O39.SI,9.02603244781494,10.399999618530272,7.920000076293945,9.390000343322754,12.93000030517578,11.510000228881836,10.829999923706056,10.31999969482422,12.470000267028809
